id,StartUp,Country,Year,Raised,ESG,E,S,G,Cluster
416,Armchain,British Virgin Islands,2018,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
417,Asia Reserve Currency Coin,Singapore,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
418,BancCoin,United States,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
420,Bezant,Singapore,0,30000000.0,0.002,0.0,0.0,0.002,"(0, 2)"
421,Bitcub,Ireland,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
422,Bitney,Malaysia,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
423,Blocnation,Philippines,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
424,BUFF,Gibraltar,2018,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
425,CoinFast,Turkey,2018,95000.0,0.0,0.0,0.0,0.0,"(2, 2)"
426,Cornucopia.io,British Virgin Islands,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
427,Craider,Switzerland,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
428,Creator.ai,Cayman Islands,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
429,CrossHedge,France,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
430,CRYX,United Kingdom,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
431,Dash,Spain,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
432,DREAM,Gibraltar,2018,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
433,eSports,Singapore,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
436,Futbol Coin,Panama,2020,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
437,GameReward,Singapore,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
438,GFC,Greece,2018,13269569.0,0.0,0.0,0.0,0.0,"(0, 2)"
439,GoneTrippin,United States,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
440,Granite,Russian Federation,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
441,Gravel Coin,Brazil,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
442,HAB,France,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
443,Invictus Margin Lending,South Africa,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
444,IoTeX,United States,0,14030000.0,0.008,0.0,0.006,0.002,"(0, 2)"
445,Kingcuan,Indonesia,2019,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
446,Kinguin.io,Estonia,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
447,KloowayBet,Malta,2019,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
448,Knabu,United Kingdom,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
449,KStarCoin,"Korea, Rep.",0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
450,LCG Energy,Germany,2020,0.0,0.018,0.008,0.002,0.008,"(4, 4)"
451,LendLedger,Singapore,2018,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
452,LILI,France,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
453,Lisk,Switzerland,0,6472497.0,0.0,0.0,0.0,0.0,"(0, 2)"
454,LiTeum,Czech Republic,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
455,Mainprise,United States,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
456,Marlin Protocol,Cayman Islands,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
457,Mass Vehicle Ledger,Singapore,2018,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
